text,label
golpe de tolva levante sistema hidraulico sistema levante,9
temperatura.. motor motor sistema de enfriamiento,9
apoyo aire bateria sistema neumatico sistema neumatico,0
barrido nitrogeno p bailac neumaticos y aros neumaticos,6
regulacion espejo estructura cabina y plataforma,19
relleno aceit hidraulico+sistema hidraulico+componentes hidraulicos,12
temperatura.neumat.pos 2 ,0
relleno.nitrog. neumaticos neumaticos y aros,0
nivel ac. motor bajo motor sistema de lubricacion,5
presion aceite baja motor sistema de lubricacion,16
relleno.devrefrigerante motor sistema de enfriamiento,9
t° frenos,4
sin propulsion tren de potencia freno de propulsion,7
relleno.ac.transm. tren de potencia transmision ,4
chequeo. pos/3 desgaste neumaticos y aros neumaticos,6
rellno diferencial sistema direccion y frenos sistema direccion,15
pasador barra estabilizadora,2
sistema voltaje bajo instr. electricos y comp. control arranque y carga,8
reg espejo der estructura cabina y plataforma,2
instl.tapa estank hyd sistema hidraulico componentes hidraulicos,22
fuga comb motor sistema de combustible,7
fuga ac convertidor tren de potencia convertidor de torque,23
golpe aleron tolva tolva,19
corte pos 1/6 bailac neumaticos y aros neumaticos,6
evaluar tolva apoyo delantero tolva tolva,2
pblema de levante tolva sistema hidraulico sistema levante,12
escalera desoldad estructura cabina y plataforma,2
codigo.presion coupling motor acoplamiento motor,11
c/ espejo izquirdo estructura cabina y plataforma,2
baja potencia motor del. motor sistema de admision y escape,17
fuga a. transmision tren de potencia transmision,1
#neumatico pos 4 daño neumaticos y aros neumaticos ,0
sin luces eje trasero instr. electricos y comp. control instrumentos cables y luces,8
chequeo. por golpes estructura estructura y chasis ,2
problema. luces trocha instr. electricos y comp. control luces,2
ajuste espejo+selector marcha estructura cabina y plataforma,2
falla propulsion sistema de propulsion componente de propulsion,25
#neumatico chequeo pos. 3 neumaticos y aros neumaticos ,0
pos 2 desgaste bailac neumaticos y aros neumaticos,0
sinarranque motor moduloelectricoycontrol,11
alarma nivel 3 hidraulico sistema hidraulico,22
cambio inyector motor sistema partida electrico,7
