text,label
alarma nivel de refrigerante. bajo instr. electricos y comp. control dispositivos proteccion y alarmas,0
presion acumulador freno secu sistema direccion y frenos sistema frenos,2
fuga de aceite de direccion tren de potencia transmision,0
evaluacion de motor motor sistema de enfriamiento,0
reponer perno base esp. estructura cabina y plataforma,0
chequeo. pos3 neumaticos y aros,1
alarma nivel ac. direccion ba motor sistema de lubricacion,0
evaluar fuga de combustible e motor sistema de combustible,0
baja presion aceite diferenci tren de potencia eje palier y diferencial ,0
chequeo suspencion sistema suspension suspensiones delanteras ,0
alarma de motor instr. electricos y comp. control dispositivos proteccion y alarmas,2
baja pª traba transm. tren de potencia transmision,0
reparacion numero luminoso estructura cabina y plataforma,2
sin tapa convert. tren de potencia convertidor de torque,0
chequeo. retardo manual sistema direccion y frenos sistema frenos,2
reparacion calefa aire acondicionado aire acondicionado,2
chequeo. valv. lock conv tren de potencia convertidor de torque ,0
evaluacion. sistema neumatic.aire sistema neumatico sistema neumatico,0
evaluacion.sistema affex sistema contra incendios sistema contra incendios,0
baja pot. filtro aire saturad motor sistema de admision y escape,2
baja p° frenos sec. sistema direccion y frenos sistema frenos,2
sensor nivle motor motor sistema de enfriamiento,2
p acumulador freno bajo sistema direccion y frenos sistema direccion,0
cambio ac. motor motor sistema de lubricacion,0
ruido golpe levante sistema hidraulico componentes hidraulicos,0
fuga de ac. masa pos/ 1 sistema suspension masas,0
relleno.ac.direccion y frenos ,0
relleno.nitrog. pos. traseras neumaticos y aros neumaticos,1
+mantencion programada+mantencion programada,4
revision suspensiones delante sistema suspension suspensiones delanteras,0
no sube vidrio puerta derch estructura cabina y plataforma,0
relleno de ref motor sistema de enfriamiento,0
enlace cat data instr. electricos y comp. control dispositivos proteccion y alarmas,2
relleno opos neumaticos y aros neumaticos,1
filtro combustible saturado motor sistema de combustible,0
#mu bot.3055e temperatura refrigerante mot motor sistema de enfriamiento,0
modo convertidor tren de potencia convertidor de torque,2
relleno nitrogeno neum neumaticos y aros relleno,1
vibracion + falla levante estructura cabina y plataforma,0
sensor aceite motor instr. electricos y comp. control sistema de control de movimiento,2
baja de voltaje instr. electricos y comp. control arranque y carga,2
chequeo barra direccion sistema direccion y frenos sistema direccion,0
cambio cilindro direccion sistema direccion y frenos sistema direccion,0
neumatico 4 aislado t° neumaticos y aros neumaticos,1
direccion dura sistema direccion y frenos sistema direccion,0
muestra ac.motor motor sistema de lubricacion ,0
sin seguro neumatico neumaticos y aros neumaticos,1
accion inmediat.evalucion mot motor sistema de lubricacion,0
