text,label
VOLTAJE 8V EN ERROR,MCE
sin radio comunicacio ,MCE
RADIO COMUNICACION,MCE
radio comunicacion ,MCE
bajo nivel aceite direccion ,MCM
fuga direccion ,MCM
neumatico ,MCV
NEUMATICO,MCV
pm ,MP
PM,MPO
EN EVALUACION,MCM
FUGA AC. MOTOR,MCM
CHEQUEO PREVENTIVO,MCM
PM.,MP
SUSPENSION DELANTERA DESCARGA,MCR
FRENO APLICADO,MCE
FUGA REFRIGERANTE,MCM
rell.refrigerante ,MCM
SIN AIRE PARTIDA,MCM
RELLENO REFRIGERANTE,MCM
PM -18D,MP
pm -18d ,MP
PM 18 D,MPO
CHEQUEO BARRA LINK,MCM
REGULACION DE ESPEJO,MPO
CHEQUEO ESCALERA EMERGENCIA,MCM
CHEQUEO NEUMATICO,MCV
TEMP.CONVERTIDOR,MCM
BAJA PRESION CONV,MCM
BAJA PRESION COMB,MCM
PM 36D,MP
EVALUACION MOTOR ALTO FIERRO,MCM
CAMBIO MOTOR DIESEL,MCM
NO CARGA COMB,MCM
NO CARGA COMBUSTIBLE,MCM
potensia ,MCM
PROBL AC,MCM
FUGA HIDRAULICA,MCM
PROBL TURBO,MCM
probl turbo ,MCM
cambio codigo ,MPO
fuga aire motor ,MCM
falla de frenos ,MCM
ALTA TEMP ESCAPE,MCM
REP A/C,MCM
POS 3 DESGASTE EXCESIVO++,MCV
PROBL TURBO+Motor+Sistema de Admision y Escape,MCM
BAJA POTENCIA+Motor+Sistema de Admision y Escape,MCM
transmis + + ,MCM
 Estructura Cabina y Plataforma,MCM
PM 72D Mantencion Programada PM,MP
 Mantencion Programada PM,MP
CHEQ CALEFACCION Estructura Cabina y Plataforma,MCM
SELLADO CABINA Aire Acondicionado Aire Acondicionado,MCM
FUGA DE FRENO ,MCM
CAMBIO P3-5 Neumaticos y Aros Neumaticos,MPV
 Neumaticos y Aros Neumaticos,MPV
retorque Neumaticos y Aros Neumaticos ,MCV
PM 18D Mantencion Programada PM,MP
