text,label
VOLTAJE 8V EN ERROR,CODIGO ACTIVO
sin radio comunicacio ,FUERA DE AJUSTE
RADIO COMUNICACION,FALLA FUNCIONAL
radio comunicacion ,FALLA FUNCIONAL
bajo nivel aceite direccion ,BAJO NIVEL
fuga direccion ,ROTURA
neumatico ,DESGASTE
NEUMATICO,DESGASTE
pm ,PM36D
PM,PM-CAMBIO
EN EVALUACION,TRASPASO
FUGA AC. MOTOR,FUGA
CHEQUEO PREVENTIVO,CHEQUEO
PM.,PM288D
SUSPENSION DELANTERA DESCARGA,PM288D
FRENO APLICADO,ACTIVACION INVOLUNTARIA
FUGA REFRIGERANTE,FUGA
rell.refrigerante ,BAJO NIVEL
SIN AIRE PARTIDA,BAJA PRESION
RELLENO REFRIGERANTE,BAJO NIVEL
PM -18D,PM18D
pm -18d ,PM18D
PM 18 D,PM-REPARACION
CHEQUEO BARRA LINK,CHEQUEO
REGULACION DE ESPEJO,PM-NORMALIZAR
CHEQUEO ESCALERA EMERGENCIA,CHEQUEO
CHEQUEO NEUMATICO,CHEQUEO
TEMP.CONVERTIDOR,ALTA TEMPERATURA
BAJA PRESION CONV,BAJA PRESION
BAJA PRESION COMB,BAJA PRESION
PM 36D,PM36D
EVALUACION MOTOR ALTO FIERRO,ROTURA
CAMBIO MOTOR DIESEL,ROTURA
NO CARGA COMB,FALLA VALVULA
NO CARGA COMBUSTIBLE,FALLA VALVULA
potensia ,FUERA DE AJUSTE
PROBL AC,FALLA FUNCIONAL
FUGA HIDRAULICA,FUGA
PROBL TURBO,BAJA POTENCIA
probl turbo ,BAJA POTENCIA
cambio codigo ,PM-CHEQUEO
fuga aire motor ,FUGA
falla de frenos ,FALLA FUNCIONAL
ALTA TEMP ESCAPE,FUERA DE AJUSTE
REP A/C,FALLA FUNCIONAL
POS 3 DESGASTE EXCESIVO++,CHEQUEO
PROBL TURBO+Motor+Sistema de Admision y Escape,FUERA DE AJUSTE
BAJA POTENCIA+Motor+Sistema de Admision y Escape,FUERA DE AJUSTE
transmis + + ,CHEQUEO
 Estructura Cabina y Plataforma,FUERA DE AJUSTE
PM 72D Mantencion Programada PM,PM72D
 Mantencion Programada PM,PM72D
CHEQ CALEFACCION Estructura Cabina y Plataforma,CHEQUEO
SELLADO CABINA Aire Acondicionado Aire Acondicionado,FALLA DE HERMETICIDAD
FUGA DE FRENO ,FUGA
CAMBIO P3-5 Neumaticos y Aros Neumaticos,PM-NORMALIZAR
 Neumaticos y Aros Neumaticos,PM-NORMALIZAR
retorque Neumaticos y Aros Neumaticos ,RETORQUE
