text,label
chequeo pos 2 neumaticos y aros relleno,3
soporte de estanque de combus estructura estructura y chasis,5
reparac.fisura chasis estructura estructura y chasis,7
reprcion y direccion sistema direccion y frenos sistema direccion,2
falla de traba de transmision tren de potencia transmision,17
chequeo neumatico p1 neumaticos y aros neumaticos ,2
fuga de nitrog oring pos/3 neumaticos y aros neumaticos,0
alta t° pos 1 neumaticos y aros neumaticos,8
regulacion estructura cabina y plataforma,25
chequeo. frenos neumaticos y aros neumaticos,2
relleno.ac.tansmision tren de potencia transmision,1
evaluar alarma de bajo nivel motor sistema de enfriamiento,1
chequeo letrero trasero instr. electricos y comp. control instrumentos cables y luces,17
sin cond de partida aire sistema auxiliar sistema neumatico,11
conimex inchancable tolva tolva,20
relleno.ac.direecion sistema direccion y frenos sistema direccion,1
ve,0
baja presion de acumulador di sistema direccion y frenos sistema direccion,3
pasador tolva fuera posicion tolva tolva,6
fuga hidraulica sistema neumatico sistema neumatico ,0
aire para partida motor sistema neumatico sistema neumatico,1
fugas de aceite hidraulico sistema hidraulico componentes hidraulicos,25
susp. delantera pos reven sistema suspension suspensiones delanteras,9
reparacion del sistema afex sistema contra incendios sistema contra incendios,6
salida de taller sistema direccion y frenos sistema direccion,3
relleno.ac.motor motor sistema de lubricacion,1
problema al bajar tolva sistema hidraulico sistema levante,7
fuga aceite direeccion sistema direccion y frenos sistema direccion,0
fuga refrigerante. frenos sistema direccion y frenos sistema frenos,0
evalua sist hidraul sistema hidraulico componentes hidraulicos,7
evaluacion de fisura chasis estructura estructura y chasis,1
chequeo. motor diesel admision / i motor sistema de admision y escape,2
chequeo. pos/4 desprendimiento neumaticos y aros neumaticos,2
c/ radio comunicaciones comunicaciones comunicaciones,17
temperatura. de frenos sistema direccion y frenos sistema direccion,8
barrido pos 4 bailac neumaticos y aros neumaticos,2
fuga de refrigerante radiador motor sistema de enfriamiento,0
chequeo neumatico pos 1 neumaticos y aros neumaticos,2
t~ convertodor alto tren de potencia convertidor de torque,7
sold.escalera acseso,20
engrase pasador cil lev sistema hidraulico sistema levante,5
temper diff tren de potencia eje palier y diferencial,8
fuga manguera valvula secunda sistema direccion y frenos sistema direccion,0
fuga nitrog.pos neumaticos y aros neumaticos,0
traba de transmisiom instr. electricos y comp. control dispositivos proteccion y alarmas,22
c/ manguera calefaccion aire acondicionado aire acondicionado,0
paso + backlog mantencion programada mantencion programada,22
baja presion aculador freno sistema direccion y frenos sistema frenos,3
cambio filtro motor sistema de lubricacion,21
prueba dinamica mantencion programada mantencion programada,4
golpe bajada tolva ,6
relleno.de nitrog. pos/2 neumaticos y aros neumaticos,3
codigo b/b freno sistema direccion y frenos sistema frenos,14
alarma ventilador instr. electricos y comp. control dispositivos proteccion y alarmas,11
chequeo. m. final tren de potencia eje palier y diferencial,2
falla transmision error tren de potencia transmision,4
evaluar fuga ac. sello espejo sistema suspension suspensiones delanteras,23
chequeo. pos. 1 neumaticos y aros neumaticos,2
enfr. freno sistema direccion y frenos sistema frenos,5
cambio de espejo izq. estructura cabina y plataforma,7
relleno refrigerante y direc sistema direccion y frenos sistema direccion,1
evaluacion. pos 6 bailac neumaticos y aros neumaticos,2
bajo niv. direccion levante l sistema direccion y frenos sistema direccion,14
vibracion pedal frenos sistema direccion y frenos sistema frenos,7
intermitente lado izq instr. electricos y comp. control luces,7
evaluar por inchancable tolva tolva,20
protecc motor estructura estructura y chasis,12
letrero tras sin numero instr. electricos y comp. control instrumentos cables y luces,20
